fact1,fact2,question,answer
The kitchen is north of the garden.,The garden is north of the office.,What is the office south of?,garden
The garden is south of the hallway.,The office is south of the garden.,What is the hallway north of?,garden
The office is west of the kitchen.,The hallway is east of the kitchen.,What is the kitchen west of?,hallway
The garden is north of the bathroom.,The bathroom is north of the hallway.,What is north of the hallway?,bathroom
The bedroom is south of the kitchen.,The kitchen is south of the garden.,What is the kitchen north of?,bedroom
The bathroom is north of the kitchen.,The office is south of the kitchen.,What is the kitchen south of?,bathroom
The kitchen is south of the office.,The bedroom is north of the office.,What is north of the office?,bedroom
The hallway is east of the bathroom.,The office is west of the bathroom.,What is east of the bathroom?,hallway
The kitchen is south of the hallway.,The office is north of the hallway.,What is south of the hallway?,kitchen
The hallway is west of the office.,The office is west of the bedroom.,What is west of the office?,hallway
The kitchen is north of the office.,The bedroom is south of the office.,What is the office north of?,bedroom
The kitchen is north of the garden.,The garden is north of the office.,What is north of the garden?,kitchen
The hallway is west of the garden.,The hallway is east of the bathroom.,What is the garden east of?,hallway
The bathroom is east of the kitchen.,The hallway is west of the kitchen.,What is the kitchen west of?,bathroom
The garden is west of the hallway.,The kitchen is east of the hallway.,What is the hallway east of?,garden
The bedroom is north of the bathroom.,The bedroom is south of the office.,What is south of the office?,bedroom
The bathroom is east of the office.,The office is east of the hallway.,What is the office west of?,bathroom
The hallway is east of the bedroom.,The hallway is west of the garden.,What is east of the bedroom?,hallway
The garden is west of the bedroom.,The bedroom is west of the kitchen.,What is west of the bedroom?,garden
The kitchen is east of the bathroom.,The garden is west of the bathroom.,What is the bathroom west of?,kitchen
The hallway is north of the bathroom.,The bathroom is north of the bedroom.,What is north of the bedroom?,bathroom
The garden is north of the kitchen.,The bathroom is north of the garden.,What is the garden south of?,bathroom
The hallway is east of the garden.,The bathroom is east of the hallway.,What is the hallway west of?,bathroom
The bathroom is east of the hallway.,The office is west of the hallway.,What is the hallway east of?,office
The hallway is east of the office.,The office is east of the kitchen.,What is east of the kitchen?,office
The bathroom is north of the kitchen.,The office is north of the bathroom.,What is north of the kitchen?,bathroom
The hallway is east of the bathroom.,The office is west of the bathroom.,What is west of the bathroom?,office
The kitchen is east of the office.,The kitchen is west of the garden.,What is the office west of?,kitchen
The bedroom is south of the office.,The garden is south of the bedroom.,What is south of the bedroom?,garden
The kitchen is north of the hallway.,The garden is north of the kitchen.,What is north of the kitchen?,garden
The garden is south of the bedroom.,The office is north of the bedroom.,What is the bedroom south of?,office
The garden is north of the office.,The kitchen is south of the office.,What is the office north of?,kitchen
The office is west of the bedroom.,The hallway is east of the bedroom.,What is the bedroom west of?,hallway
The bathroom is west of the office.,The kitchen is east of the office.,What is west of the office?,bathroom
The bedroom is north of the garden.,The bathroom is south of the garden.,What is the garden south of?,bedroom
The office is north of the bathroom.,The bedroom is north of the office.,What is north of the bathroom?,office
The bedroom is east of the garden.,The office is east of the bedroom.,What is east of the garden?,bedroom
The hallway is west of the bathroom.,The bathroom is west of the kitchen.,What is the kitchen east of?,bathroom
The hallway is north of the bedroom.,The bedroom is north of the garden.,What is the garden south of?,bedroom
The bedroom is south of the hallway.,The bedroom is north of the office.,What is the office south of?,bedroom
The hallway is south of the bedroom.,The garden is north of the bedroom.,What is south of the bedroom?,hallway
The garden is north of the hallway.,The kitchen is south of the hallway.,What is the hallway north of?,kitchen
The bathroom is north of the garden.,The bedroom is north of the bathroom.,What is north of the garden?,bathroom
The kitchen is west of the garden.,The garden is west of the bedroom.,What is west of the garden?,kitchen
The bedroom is north of the hallway.,The garden is south of the hallway.,What is south of the hallway?,garden
The bathroom is east of the office.,The bedroom is west of the office.,What is the office east of?,bedroom
The bathroom is north of the garden.,The hallway is south of the garden.,What is the garden south of?,bathroom
The bedroom is east of the office.,The garden is west of the office.,What is the office west of?,bedroom
The bedroom is west of the bathroom.,The kitchen is west of the bedroom.,What is west of the bathroom?,bedroom
The hallway is west of the kitchen.,The kitchen is west of the office.,What is west of the office?,kitchen
The hallway is north of the garden.,The hallway is south of the bedroom.,What is north of the garden?,hallway
The office is south of the bathroom.,The office is north of the bedroom.,What is south of the bathroom?,office
The hallway is east of the office.,The garden is west of the office.,What is west of the office?,garden
The hallway is west of the bedroom.,The hallway is east of the garden.,What is the bedroom east of?,hallway
The office is east of the garden.,The bathroom is east of the office.,What is the office west of?,bathroom
The bedroom is north of the garden.,The bathroom is south of the garden.,What is north of the garden?,bedroom
The hallway is south of the bedroom.,The garden is north of the bedroom.,What is the bedroom north of?,hallway
The bathroom is west of the hallway.,The hallway is west of the office.,What is west of the hallway?,bathroom
The garden is east of the bathroom.,The bedroom is west of the bathroom.,What is the bathroom east of?,bedroom
The kitchen is east of the office.,The bedroom is west of the office.,What is the office east of?,bedroom
The bathroom is south of the bedroom.,The garden is south of the bathroom.,What is south of the bathroom?,garden
The bathroom is north of the office.,The bedroom is south of the office.,What is north of the office?,bathroom
The kitchen is north of the garden.,The hallway is north of the kitchen.,What is north of the kitchen?,hallway
The office is north of the bathroom.,The kitchen is south of the bathroom.,What is the bathroom south of?,office
The bathroom is south of the bedroom.,The kitchen is north of the bedroom.,What is the bedroom north of?,bathroom
The kitchen is east of the bathroom.,The bedroom is west of the bathroom.,What is the bathroom west of?,kitchen
The garden is north of the office.,The garden is south of the hallway.,What is the hallway north of?,garden
The hallway is south of the bathroom.,The garden is north of the bathroom.,What is south of the bathroom?,hallway
The bathroom is south of the hallway.,The office is south of the bathroom.,What is the hallway north of?,bathroom
The hallway is north of the office.,The hallway is south of the bathroom.,What is the office south of?,hallway
The bedroom is east of the hallway.,The office is west of the hallway.,What is the hallway east of?,office
The office is east of the kitchen.,The kitchen is east of the bathroom.,What is east of the bathroom?,kitchen
The hallway is north of the office.,The bedroom is north of the hallway.,What is north of the office?,hallway
The bedroom is east of the office.,The kitchen is east of the bedroom.,What is the bedroom west of?,kitchen
The office is east of the garden.,The hallway is west of the garden.,What is the garden west of?,office
The bedroom is west of the garden.,The garden is west of the kitchen.,What is the kitchen east of?,garden
The bathroom is south of the bedroom.,The office is north of the bedroom.,What is the bedroom south of?,office
The bathroom is north of the hallway.,The hallway is north of the kitchen.,What is the hallway south of?,bathroom
The office is north of the bathroom.,The bathroom is north of the garden.,What is north of the bathroom?,office
The hallway is south of the garden.,The kitchen is south of the hallway.,What is the garden north of?,hallway
The garden is east of the kitchen.,The bedroom is west of the kitchen.,What is the kitchen east of?,bedroom
The kitchen is east of the bedroom.,The hallway is west of the bedroom.,What is east of the bedroom?,kitchen
The bedroom is south of the bathroom.,The office is south of the bedroom.,What is south of the bathroom?,bedroom
The office is south of the hallway.,The kitchen is north of the hallway.,What is the hallway south of?,kitchen
The office is west of the garden.,The kitchen is west of the office.,What is west of the office?,kitchen
The garden is north of the kitchen.,The kitchen is north of the bedroom.,What is north of the kitchen?,garden
The bathroom is north of the bedroom.,The garden is south of the bedroom.,What is the bedroom south of?,bathroom
The bathroom is east of the kitchen.,The garden is west of the kitchen.,What is west of the kitchen?,garden
The bathroom is west of the bedroom.,The hallway is east of the bedroom.,What is the bedroom east of?,bathroom
The bedroom is east of the bathroom.,The kitchen is east of the bedroom.,What is the bathroom west of?,bedroom
The garden is north of the office.,The bathroom is north of the garden.,What is the office south of?,garden
The kitchen is west of the bedroom.,The bathroom is west of the kitchen.,What is the kitchen east of?,bathroom
The hallway is west of the bedroom.,The kitchen is west of the hallway.,What is the hallway east of?,kitchen
The bedroom is south of the office.,The office is south of the hallway.,What is south of the office?,bedroom
The office is south of the garden.,The bedroom is north of the garden.,What is the garden south of?,bedroom
The bathroom is south of the office.,The hallway is north of the office.,What is south of the office?,bathroom
The bedroom is east of the bathroom.,The hallway is east of the bedroom.,What is east of the bathroom?,bedroom
The garden is west of the office.,The office is west of the kitchen.,What is the kitchen east of?,office
The garden is south of the kitchen.,The bathroom is north of the kitchen.,What is the kitchen south of?,bathroom
The garden is east of the kitchen.,The garden is west of the hallway.,What is west of the hallway?,garden
The bedroom is south of the bathroom.,The garden is north of the bathroom.,What is the bathroom south of?,garden
The hallway is north of the office.,The bathroom is south of the office.,What is north of the office?,hallway
The bathroom is south of the office.,The hallway is south of the bathroom.,What is south of the bathroom?,hallway
The bedroom is south of the garden.,The office is south of the bedroom.,What is south of the bedroom?,office
The garden is east of the hallway.,The bathroom is east of the garden.,What is east of the hallway?,garden
The bathroom is north of the bedroom.,The bedroom is north of the office.,What is the office south of?,bedroom
The office is west of the kitchen.,The kitchen is west of the hallway.,What is west of the hallway?,kitchen
The hallway is south of the kitchen.,The kitchen is south of the garden.,What is south of the garden?,kitchen
The bathroom is east of the bedroom.,The bedroom is east of the hallway.,What is east of the hallway?,bedroom
The bedroom is south of the kitchen.,The office is south of the bedroom.,What is south of the kitchen?,bedroom
The kitchen is west of the office.,The kitchen is east of the hallway.,What is the hallway west of?,kitchen
The bedroom is west of the hallway.,The bedroom is east of the garden.,What is west of the hallway?,bedroom
The garden is east of the bathroom.,The kitchen is east of the garden.,What is the garden west of?,kitchen
The kitchen is west of the bathroom.,The hallway is east of the bathroom.,What is east of the bathroom?,hallway
The office is west of the garden.,The kitchen is west of the office.,What is west of the garden?,office
The office is east of the bathroom.,The garden is west of the bathroom.,What is west of the bathroom?,garden
The office is south of the garden.,The kitchen is south of the office.,What is the garden north of?,office
The garden is west of the office.,The bathroom is east of the office.,What is west of the office?,garden
The office is west of the bedroom.,The hallway is east of the bedroom.,What is the bedroom east of?,office
The hallway is south of the kitchen.,The kitchen is south of the bedroom.,What is south of the bedroom?,kitchen
The kitchen is north of the bathroom.,The hallway is south of the bathroom.,What is the bathroom north of?,hallway
The hallway is east of the kitchen.,The bedroom is west of the kitchen.,What is west of the kitchen?,bedroom
The hallway is east of the garden.,The office is west of the garden.,What is west of the garden?,office
The bathroom is east of the hallway.,The office is east of the bathroom.,What is east of the hallway?,bathroom
The bathroom is east of the garden.,The hallway is east of the bathroom.,What is the garden west of?,bathroom
The bedroom is east of the office.,The office is east of the kitchen.,What is east of the office?,bedroom
The bathroom is east of the hallway.,The hallway is east of the office.,What is the office west of?,hallway
The bathroom is north of the bedroom.,The kitchen is north of the bathroom.,What is the bedroom south of?,bathroom
The bathroom is west of the hallway.,The kitchen is west of the bathroom.,What is west of the bathroom?,kitchen
The office is south of the garden.,The office is north of the kitchen.,What is the garden north of?,office
The hallway is north of the kitchen.,The kitchen is north of the garden.,What is north of the garden?,kitchen
The bedroom is west of the kitchen.,The bedroom is east of the hallway.,What is west of the kitchen?,bedroom
The garden is north of the hallway.,The bathroom is south of the hallway.,What is south of the hallway?,bathroom
The hallway is north of the kitchen.,The bathroom is north of the hallway.,What is north of the kitchen?,hallway
The garden is south of the bedroom.,The garden is north of the office.,What is north of the office?,garden
The bedroom is west of the kitchen.,The hallway is west of the bedroom.,What is the kitchen east of?,bedroom
The garden is east of the hallway.,The bedroom is west of the hallway.,What is east of the hallway?,garden
The office is north of the hallway.,The bedroom is south of the hallway.,What is south of the hallway?,bedroom
The hallway is east of the kitchen.,The bathroom is west of the kitchen.,What is east of the kitchen?,hallway
The bathroom is north of the office.,The office is north of the kitchen.,What is the office south of?,bathroom
The bathroom is south of the bedroom.,The hallway is north of the bedroom.,What is the bedroom south of?,hallway
The hallway is south of the bedroom.,The hallway is north of the bathroom.,What is north of the bathroom?,hallway
The hallway is west of the bathroom.,The garden is east of the bathroom.,What is east of the bathroom?,garden
The garden is south of the kitchen.,The hallway is north of the kitchen.,What is south of the kitchen?,garden
The office is south of the garden.,The garden is south of the hallway.,What is south of the garden?,office
The hallway is west of the office.,The bedroom is east of the office.,What is the office west of?,bedroom
The hallway is north of the bedroom.,The hallway is south of the kitchen.,What is north of the bedroom?,hallway
The office is north of the bedroom.,The kitchen is south of the bedroom.,What is north of the bedroom?,office
The bedroom is south of the office.,The bedroom is north of the kitchen.,What is the office north of?,bedroom
The kitchen is west of the office.,The kitchen is east of the garden.,What is the office east of?,kitchen
The hallway is north of the bathroom.,The bathroom is north of the bedroom.,What is the bathroom south of?,hallway
The garden is east of the hallway.,The bedroom is east of the garden.,What is east of the hallway?,garden
The kitchen is east of the hallway.,The office is east of the kitchen.,What is east of the kitchen?,office
The bedroom is north of the garden.,The hallway is south of the garden.,What is north of the garden?,bedroom
The hallway is west of the bathroom.,The bathroom is west of the bedroom.,What is the bathroom east of?,hallway
The bedroom is east of the hallway.,The office is east of the bedroom.,What is the hallway west of?,bedroom
The garden is west of the bathroom.,The kitchen is east of the bathroom.,What is west of the bathroom?,garden
The bedroom is north of the office.,The garden is south of the office.,What is north of the office?,bedroom
The bedroom is south of the hallway.,The kitchen is north of the hallway.,What is the hallway north of?,bedroom
The garden is south of the kitchen.,The bathroom is south of the garden.,What is the garden north of?,bathroom
The bathroom is east of the hallway.,The office is west of the hallway.,What is the hallway east of?,office
The kitchen is north of the bathroom.,The kitchen is south of the bedroom.,What is south of the bedroom?,kitchen
The hallway is west of the office.,The office is west of the garden.,What is the office east of?,hallway
The bedroom is north of the garden.,The hallway is south of the garden.,What is the garden north of?,hallway
The garden is north of the office.,The office is north of the bedroom.,What is north of the office?,garden
The kitchen is north of the hallway.,The garden is south of the hallway.,What is the hallway north of?,garden
The office is south of the bedroom.,The bathroom is south of the office.,What is the office north of?,bathroom
The kitchen is east of the hallway.,The garden is west of the hallway.,What is west of the hallway?,garden
The office is north of the bathroom.,The kitchen is south of the bathroom.,What is the bathroom south of?,office
The office is north of the hallway.,The garden is north of the office.,What is north of the hallway?,office
The bathroom is east of the garden.,The hallway is east of the bathroom.,What is east of the bathroom?,hallway
The hallway is north of the bedroom.,The bathroom is south of the bedroom.,What is south of the bedroom?,bathroom
The kitchen is east of the bathroom.,The hallway is west of the bathroom.,What is west of the bathroom?,hallway
The hallway is south of the bedroom.,The kitchen is north of the bedroom.,What is the bedroom south of?,kitchen
The garden is west of the bedroom.,The bathroom is east of the bedroom.,What is west of the bedroom?,garden
The garden is south of the office.,The kitchen is north of the office.,What is the office north of?,garden
The bedroom is south of the bathroom.,The garden is north of the bathroom.,What is north of the bathroom?,garden
The bedroom is north of the garden.,The office is south of the garden.,What is south of the garden?,office
The office is east of the garden.,The bathroom is west of the garden.,What is west of the garden?,bathroom
The bedroom is west of the hallway.,The garden is west of the bedroom.,What is the bedroom east of?,garden
The hallway is south of the office.,The office is south of the bedroom.,What is south of the office?,hallway
The kitchen is south of the bathroom.,The kitchen is north of the garden.,What is the garden south of?,kitchen
The hallway is west of the bedroom.,The garden is west of the hallway.,What is west of the bedroom?,hallway
The bedroom is east of the bathroom.,The office is east of the bedroom.,What is the bedroom west of?,office
The hallway is west of the kitchen.,The kitchen is west of the garden.,What is the garden east of?,kitchen
The bathroom is north of the garden.,The garden is north of the bedroom.,What is the bedroom south of?,garden
The bedroom is east of the hallway.,The kitchen is west of the hallway.,What is the hallway east of?,kitchen
The kitchen is east of the hallway.,The garden is west of the hallway.,What is the hallway east of?,garden
The hallway is south of the garden.,The bedroom is north of the garden.,What is the garden south of?,bedroom
The office is east of the bedroom.,The bedroom is east of the garden.,What is east of the garden?,bedroom
The kitchen is east of the hallway.,The bedroom is west of the hallway.,What is the hallway west of?,kitchen
The hallway is west of the bedroom.,The office is west of the hallway.,What is the bedroom east of?,hallway
The hallway is north of the bathroom.,The bedroom is north of the hallway.,What is the bathroom south of?,hallway
The garden is north of the kitchen.,The office is south of the kitchen.,What is north of the kitchen?,garden
The garden is east of the kitchen.,The garden is west of the bathroom.,What is east of the kitchen?,garden
The garden is north of the bathroom.,The office is south of the bathroom.,What is the bathroom north of?,office
The kitchen is west of the hallway.,The hallway is west of the office.,What is the office east of?,hallway
The office is east of the bedroom.,The hallway is west of the bedroom.,What is the bedroom east of?,hallway
The office is north of the hallway.,The bedroom is south of the hallway.,What is north of the hallway?,office
The bedroom is west of the kitchen.,The office is west of the bedroom.,What is west of the kitchen?,bedroom
The hallway is south of the bathroom.,The hallway is north of the kitchen.,What is south of the bathroom?,hallway
The office is east of the hallway.,The garden is west of the hallway.,What is east of the hallway?,office
The bathroom is west of the hallway.,The bedroom is east of the hallway.,What is the hallway east of?,bathroom
The hallway is north of the bedroom.,The bedroom is north of the kitchen.,What is north of the bedroom?,hallway
The bedroom is north of the garden.,The office is north of the bedroom.,What is the garden south of?,bedroom
The office is south of the bedroom.,The hallway is north of the bedroom.,What is south of the bedroom?,office
The bathroom is east of the garden.,The garden is east of the hallway.,What is east of the garden?,bathroom
The kitchen is west of the garden.,The office is east of the garden.,What is west of the garden?,kitchen
The garden is west of the bathroom.,The bathroom is west of the bedroom.,What is the bedroom east of?,bathroom
The garden is north of the bathroom.,The office is south of the bathroom.,What is the bathroom south of?,garden
The office is west of the garden.,The kitchen is east of the garden.,What is the garden west of?,kitchen
The bathroom is north of the bedroom.,The bedroom is north of the kitchen.,What is the kitchen south of?,bedroom
The garden is west of the office.,The kitchen is east of the office.,What is east of the office?,kitchen
The garden is east of the bathroom.,The hallway is west of the bathroom.,What is west of the bathroom?,hallway
The hallway is west of the kitchen.,The hallway is east of the garden.,What is the garden west of?,hallway
The bedroom is east of the kitchen.,The garden is west of the kitchen.,What is the kitchen west of?,bedroom
The kitchen is east of the office.,The bedroom is west of the office.,What is the office west of?,kitchen
The hallway is west of the bedroom.,The bathroom is east of the bedroom.,What is the bedroom west of?,bathroom
The bathroom is east of the office.,The bathroom is west of the hallway.,What is west of the hallway?,bathroom
The bedroom is north of the garden.,The garden is north of the hallway.,What is north of the garden?,bedroom
The kitchen is north of the hallway.,The kitchen is south of the bathroom.,What is south of the bathroom?,kitchen
The garden is east of the office.,The kitchen is west of the office.,What is the office east of?,kitchen
The office is north of the kitchen.,The bathroom is north of the office.,What is north of the office?,bathroom
The bedroom is north of the hallway.,The hallway is north of the office.,What is north of the office?,hallway
The bathroom is east of the garden.,The bedroom is west of the garden.,What is west of the garden?,bedroom
The office is east of the kitchen.,The bedroom is west of the kitchen.,What is the kitchen west of?,office
The bathroom is east of the bedroom.,The garden is west of the bedroom.,What is the bedroom west of?,bathroom
The kitchen is south of the bathroom.,The office is north of the bathroom.,What is the bathroom south of?,office
The office is south of the bathroom.,The hallway is north of the bathroom.,What is north of the bathroom?,hallway
The office is south of the kitchen.,The garden is north of the kitchen.,What is the kitchen south of?,garden
The hallway is north of the office.,The kitchen is north of the hallway.,What is the hallway south of?,kitchen
The office is east of the bedroom.,The bedroom is east of the bathroom.,What is the bedroom west of?,office
The hallway is east of the kitchen.,The hallway is west of the garden.,What is the garden east of?,hallway
The office is south of the bedroom.,The kitchen is north of the bedroom.,What is the bedroom south of?,kitchen
The office is east of the hallway.,The kitchen is west of the hallway.,What is the hallway west of?,office
The garden is north of the bedroom.,The hallway is south of the bedroom.,What is the bedroom north of?,hallway
The garden is west of the bedroom.,The bathroom is west of the garden.,What is west of the bedroom?,garden
The office is south of the bedroom.,The hallway is south of the office.,What is south of the office?,hallway
The office is south of the kitchen.,The kitchen is south of the garden.,What is south of the garden?,kitchen
The bedroom is west of the kitchen.,The office is west of the bedroom.,What is the bedroom east of?,office
The office is south of the kitchen.,The bathroom is north of the kitchen.,What is south of the kitchen?,office
The bathroom is east of the kitchen.,The kitchen is east of the office.,What is the kitchen west of?,bathroom
The office is south of the garden.,The hallway is south of the office.,What is the office north of?,hallway
The hallway is east of the bathroom.,The bathroom is east of the kitchen.,What is east of the kitchen?,bathroom
The office is east of the hallway.,The hallway is east of the kitchen.,What is east of the hallway?,office
The bedroom is west of the office.,The kitchen is west of the bedroom.,What is west of the bedroom?,kitchen
The garden is east of the office.,The bedroom is west of the office.,What is the office west of?,garden
The bedroom is east of the office.,The hallway is east of the bedroom.,What is east of the office?,bedroom
The office is west of the bathroom.,The garden is east of the bathroom.,What is west of the bathroom?,office
The kitchen is east of the garden.,The bathroom is east of the kitchen.,What is the kitchen west of?,bathroom
The bedroom is south of the garden.,The bathroom is north of the garden.,What is the garden south of?,bathroom
The hallway is east of the office.,The hallway is west of the bathroom.,What is east of the office?,hallway
The bathroom is north of the hallway.,The kitchen is north of the bathroom.,What is the bathroom south of?,kitchen
The kitchen is south of the bedroom.,The hallway is north of the bedroom.,What is north of the bedroom?,hallway
The garden is south of the kitchen.,The garden is north of the office.,What is north of the office?,garden
The kitchen is south of the bathroom.,The bedroom is south of the kitchen.,What is south of the kitchen?,bedroom
The hallway is west of the garden.,The garden is west of the kitchen.,What is west of the garden?,hallway
The office is east of the kitchen.,The bedroom is east of the office.,What is the kitchen west of?,office
The kitchen is north of the bedroom.,The bedroom is north of the bathroom.,What is north of the bedroom?,kitchen
The hallway is north of the bedroom.,The hallway is south of the kitchen.,What is the bedroom south of?,hallway
The garden is east of the kitchen.,The hallway is west of the kitchen.,What is west of the kitchen?,hallway
The kitchen is south of the bedroom.,The kitchen is north of the hallway.,What is the bedroom north of?,kitchen
The bedroom is south of the garden.,The office is south of the bedroom.,What is the bedroom north of?,office
The garden is west of the office.,The hallway is east of the office.,What is east of the office?,hallway
The hallway is south of the office.,The garden is south of the hallway.,What is the office north of?,hallway
The office is east of the hallway.,The hallway is east of the bedroom.,What is east of the bedroom?,hallway
The garden is west of the office.,The hallway is east of the office.,What is the office east of?,garden
The office is north of the bedroom.,The bathroom is south of the bedroom.,What is north of the bedroom?,office
The bedroom is north of the garden.,The kitchen is north of the bedroom.,What is north of the bedroom?,kitchen
The garden is north of the office.,The hallway is south of the office.,What is south of the office?,hallway
The office is east of the kitchen.,The bathroom is east of the office.,What is the office west of?,bathroom
The kitchen is east of the garden.,The bedroom is west of the garden.,What is the garden east of?,bedroom
The office is north of the kitchen.,The bathroom is north of the office.,What is the kitchen south of?,office
The garden is south of the office.,The kitchen is north of the office.,What is the office south of?,kitchen
The bathroom is south of the office.,The garden is north of the office.,What is north of the office?,garden
The bathroom is west of the kitchen.,The bathroom is east of the office.,What is west of the kitchen?,bathroom
The office is east of the bedroom.,The kitchen is east of the office.,What is east of the bedroom?,office
The bedroom is north of the garden.,The office is south of the garden.,What is the garden north of?,office
The hallway is west of the bedroom.,The bathroom is east of the bedroom.,What is east of the bedroom?,bathroom
The bedroom is south of the bathroom.,The office is north of the bathroom.,What is the bathroom south of?,office
The garden is east of the kitchen.,The bedroom is west of the kitchen.,What is east of the kitchen?,garden
The bathroom is west of the bedroom.,The bathroom is east of the kitchen.,What is east of the kitchen?,bathroom
The bathroom is south of the office.,The bedroom is north of the office.,What is the office north of?,bathroom
The hallway is west of the kitchen.,The bathroom is west of the hallway.,What is west of the hallway?,bathroom
The garden is east of the office.,The bedroom is west of the office.,What is the office east of?,bedroom
The bedroom is east of the office.,The office is east of the bathroom.,What is east of the office?,bedroom
The bedroom is north of the bathroom.,The bedroom is south of the kitchen.,What is the kitchen north of?,bedroom
The bedroom is east of the kitchen.,The office is west of the kitchen.,What is the kitchen west of?,bedroom
The bathroom is east of the garden.,The kitchen is west of the garden.,What is the garden east of?,kitchen
The kitchen is west of the office.,The office is west of the bedroom.,What is the office east of?,kitchen
The kitchen is east of the bedroom.,The kitchen is west of the hallway.,What is east of the bedroom?,kitchen
The kitchen is east of the garden.,The bedroom is west of the garden.,What is the garden east of?,bedroom
The office is west of the hallway.,The bedroom is east of the hallway.,What is the hallway east of?,office
The office is west of the bedroom.,The kitchen is west of the office.,What is the bedroom east of?,office
The garden is east of the hallway.,The office is west of the hallway.,What is east of the hallway?,garden
The bedroom is west of the bathroom.,The garden is east of the bathroom.,What is the bathroom west of?,garden
The office is east of the hallway.,The office is west of the bedroom.,What is west of the bedroom?,office
The office is east of the hallway.,The bedroom is west of the hallway.,What is the hallway east of?,bedroom
The bathroom is east of the bedroom.,The kitchen is west of the bedroom.,What is east of the bedroom?,bathroom
The office is north of the garden.,The garden is north of the bedroom.,What is north of the bedroom?,garden
The garden is north of the bedroom.,The hallway is south of the bedroom.,What is south of the bedroom?,hallway
The office is south of the hallway.,The garden is north of the hallway.,What is the hallway north of?,office
The office is west of the bedroom.,The garden is east of the bedroom.,What is east of the bedroom?,garden
The bedroom is north of the hallway.,The kitchen is south of the hallway.,What is south of the hallway?,kitchen
The hallway is west of the garden.,The office is east of the garden.,What is west of the garden?,hallway
The bathroom is west of the office.,The hallway is west of the bathroom.,What is west of the bathroom?,hallway
The hallway is east of the office.,The office is east of the kitchen.,What is the kitchen west of?,office
The garden is south of the bathroom.,The bedroom is south of the garden.,What is the garden north of?,bedroom
The kitchen is east of the garden.,The garden is east of the bedroom.,What is east of the garden?,kitchen
The garden is south of the hallway.,The bedroom is south of the garden.,What is south of the hallway?,garden
The garden is east of the kitchen.,The garden is west of the bedroom.,What is east of the kitchen?,garden
The kitchen is west of the garden.,The kitchen is east of the office.,What is the garden east of?,kitchen
The garden is east of the bathroom.,The office is west of the bathroom.,What is west of the bathroom?,office
The bedroom is south of the office.,The office is south of the hallway.,What is south of the office?,bedroom
The bathroom is east of the garden.,The bedroom is east of the bathroom.,What is east of the garden?,bathroom
The bedroom is south of the garden.,The office is north of the garden.,What is the garden south of?,office
The kitchen is south of the hallway.,The hallway is south of the bedroom.,What is the hallway north of?,kitchen
The garden is south of the office.,The bedroom is south of the garden.,What is the office north of?,garden
The garden is west of the office.,The bathroom is east of the office.,What is the office east of?,garden
The hallway is north of the garden.,The office is south of the garden.,What is the garden south of?,hallway
The hallway is north of the garden.,The garden is north of the bedroom.,What is north of the garden?,hallway
The bathroom is west of the garden.,The office is east of the garden.,What is west of the garden?,bathroom
The kitchen is west of the bedroom.,The garden is east of the bedroom.,What is east of the bedroom?,garden
The kitchen is south of the garden.,The hallway is south of the kitchen.,What is the garden north of?,kitchen
The kitchen is north of the garden.,The bathroom is north of the kitchen.,What is the garden south of?,kitchen
The bedroom is east of the office.,The kitchen is east of the bedroom.,What is the bedroom west of?,kitchen
The bathroom is west of the garden.,The bedroom is east of the garden.,What is the garden west of?,bedroom
The garden is north of the kitchen.,The hallway is north of the garden.,What is north of the kitchen?,garden
The bedroom is north of the bathroom.,The bathroom is north of the office.,What is north of the bathroom?,bedroom
The garden is north of the bedroom.,The bedroom is north of the bathroom.,What is the bedroom south of?,garden
The office is south of the bedroom.,The kitchen is south of the office.,What is south of the bedroom?,office
The garden is west of the office.,The hallway is east of the office.,What is east of the office?,hallway
The bedroom is north of the kitchen.,The office is south of the kitchen.,What is south of the kitchen?,office
The garden is north of the hallway.,The hallway is north of the bathroom.,What is the hallway south of?,garden
The office is north of the hallway.,The garden is south of the hallway.,What is north of the hallway?,office
The office is east of the bathroom.,The office is west of the hallway.,What is the hallway east of?,office
The garden is east of the bathroom.,The kitchen is west of the bathroom.,What is east of the bathroom?,garden
The office is east of the bedroom.,The hallway is east of the office.,What is east of the office?,hallway
The hallway is west of the office.,The office is west of the bathroom.,What is west of the bathroom?,office
The kitchen is south of the office.,The kitchen is north of the garden.,What is north of the garden?,kitchen
The bedroom is south of the kitchen.,The bedroom is north of the bathroom.,What is north of the bathroom?,bedroom
The hallway is north of the garden.,The office is south of the garden.,What is south of the garden?,office
The bathroom is south of the kitchen.,The kitchen is south of the bedroom.,What is south of the kitchen?,bathroom
The kitchen is east of the bathroom.,The garden is west of the bathroom.,What is west of the bathroom?,garden
The kitchen is north of the hallway.,The kitchen is south of the bedroom.,What is the hallway south of?,kitchen
The hallway is east of the bedroom.,The office is west of the bedroom.,What is west of the bedroom?,office
The bedroom is east of the office.,The office is east of the bathroom.,What is the bathroom west of?,office
The kitchen is south of the office.,The bathroom is north of the office.,What is the office north of?,kitchen
The bedroom is east of the hallway.,The garden is east of the bedroom.,What is the hallway west of?,bedroom
The bathroom is south of the garden.,The office is south of the bathroom.,What is the bathroom north of?,office
The kitchen is west of the bedroom.,The office is west of the kitchen.,What is the bedroom east of?,kitchen
The hallway is west of the office.,The office is west of the kitchen.,What is west of the kitchen?,office
